Start_Date,Volunteer_event,Volunteer_ID,Current_Yr_Donation,Type,Volunteer_Hours,Volunteer_company
3/23/2022,Packing Food Boxes,1,$0 No Donations,Food Distribution,3,None
8/16/2022,Trash Clean Up,2,$1-$99,Clean Up,5,Walmart
12/14/2022,Speaker at Event,3,$100-$999,Speaker,4,Google
6/30/2022,Cleaning Community Garden,4,$1000-$4999,Clean Up,3,Netflix
7/8/2022,Soup Kitchen,5,$5000+,Food Distribution,2,Apple
12/31/2022,Food Bank,6,$0 No Donations,Food Distribution,5,Microsoft
10/28/2022,Tutoring,7,$1-$99,Education,4,Microsoft
4/6/2022,Jacket Distribution,8,$1-$99,Clothing Distribution,1,Microsoft
11/5/2022,Language Tutoring,9,$1-$99,Education,3,Microsoft
9/11/2022,Packing Food Boxes,10,$100-$999,Food Distribution,4,Microsoft
10/12/2022,Trash Clean Up,11,$0 No Donations,Clean Up,4,Microsoft
6/9/2022,Speaker at Event,12,$0 No Donations,Speaker,1,Microsoft
4/19/2022,Cleaning Community Garden,13,$5000+,Clean Up,1,Microsoft
5/16/2022,Soup Kitchen,14,$0 No Donations,Food Distribution,2,Microsoft
6/19/2022,Food Bank,15,$5000+,Food Distribution,1,Microsoft
10/17/2022,Tutoring,16,$5000+,Education,4,Microsoft
11/12/2022,Jacket Distribution,17,$1-$99,Clothing Distribution,4,Microsoft
10/4/2022,Language Tutoring,18,$1-$99,Education,5,Microsoft
7/25/2022,Packing Food Boxes,19,$1-$99,Food Distribution,1,Microsoft
4/24/2022,Trash Clean Up,20,$1-$99,Clean Up,1,Microsoft
8/20/2022,Speaker at Event,21,$100-$999,Speaker,5,Microsoft
3/12/2022,Cleaning Community Garden,22,$0 No Donations,Clean Up,4,Microsoft
12/16/2022,Soup Kitchen,23,$0 No Donations,Food Distribution,1,Microsoft
12/30/2022,Food Bank,24,$100-$999,Food Distribution,3,Microsoft
4/2/2022,Tutoring,25,$5000+,Education,6,None
6/27/2022,Jacket Distribution,26,$0 No Donations,Clothing Distribution,5,None
3/19/2022,Language Tutoring,27,$5000+,Education,6,None
4/24/2022,Trash Clean Up,28,$0 No Donations,Clean Up,2,None
4/24/2022,Trash Clean Up,29,$100-$999,Clean Up,4,None
4/24/2022,Trash Clean Up,30,$0 No Donations,Clean Up,2,None
4/24/2022,Trash Clean Up,31,$100-$999,Clean Up,2,None
4/24/2022,Trash Clean Up,32,$5000+,Clean Up,5,None
4/24/2022,Trash Clean Up,33,$5000+,Clean Up,2,None
4/24/2022,Trash Clean Up,34,$0 No Donations,Clean Up,4,None
4/24/2022,Trash Clean Up,35,$0 No Donations,Clean Up,5,None
4/24/2022,Trash Clean Up,36,$1-$99,Clean Up,2,None
7/24/2022,Trash Clean Up,37,$0 No Donations,Clean Up,2,None
7/24/2022,Trash Clean Up,38,$1-$99,Clean Up,3,None
7/24/2022,Trash Clean Up,39,$1-$99,Clean Up,6,None
7/24/2022,Trash Clean Up,40,$0 No Donations,Clean Up,5,None
7/24/2022,Trash Clean Up,41,$0 No Donations,Clean Up,5,None
7/24/2022,Trash Clean Up,42,$0 No Donations,Clean Up,3,None
7/24/2022,Trash Clean Up,43,$0 No Donations,Clean Up,1,None
7/24/2022,Trash Clean Up,44,$0 No Donations,Clean Up,6,None
7/24/2022,Trash Clean Up,45,$0 No Donations,Clean Up,5,None
7/24/2022,Trash Clean Up,46,$0 No Donations,Clean Up,5,None
7/24/2022,Trash Clean Up,47,$0 No Donations,Clean Up,4,None
7/24/2022,Trash Clean Up,48,$5000+,Clean Up,2,None
7/24/2022,Trash Clean Up,49,$0 No Donations,Clean Up,5,None
7/24/2022,Trash Clean Up,50,$0 No Donations,Clean Up,5,None
7/24/2022,Trash Clean Up,51,$0 No Donations,Clean Up,5,None
7/24/2022,Trash Clean Up,52,$0 No Donations,Clean Up,2,None
8/23/2022,Trash Clean Up,53,$0 No Donations,Clean Up,3,None
8/23/2022,Trash Clean Up,54,$0 No Donations,Clean Up,6,None
8/23/2022,Trash Clean Up,55,$0 No Donations,Clean Up,5,None
8/23/2022,Trash Clean Up,56,$100-$999,Clean Up,5,None
8/23/2022,Trash Clean Up,57,$100-$999,Clean Up,3,None
8/23/2022,Trash Clean Up,58,$100-$999,Clean Up,3,None
8/23/2022,Trash Clean Up,59,$100-$999,Clean Up,1,None
8/23/2022,Trash Clean Up,60,$100-$999,Clean Up,3,None
8/23/2022,Trash Clean Up,61,$100-$999,Clean Up,2,None
8/23/2022,Trash Clean Up,62,$100-$999,Clean Up,4,None
8/23/2022,Trash Clean Up,63,$100-$999,Clean Up,1,None
6/21/2022,Packing Food Boxes,64,$100-$999,Food Distribution,3,None
12/8/2022,Packing Food Boxes,65,$100-$999,Food Distribution,3,None
12/30/2022,Packing Food Boxes,66,$100-$999,Food Distribution,6,None
4/10/2022,Packing Food Boxes,67,$0 No Donations,Food Distribution,3,None
2/28/2022,Packing Food Boxes,68,$0 No Donations,Food Distribution,6,None
11/25/2022,Packing Food Boxes,69,$0 No Donations,Food Distribution,4,None
11/21/2022,Packing Food Boxes,70,$0 No Donations,Food Distribution,4,None
10/28/2022,Packing Food Boxes,71,$1-$99,Food Distribution,4,None
7/31/2022,Packing Food Boxes,72,$1-$99,Food Distribution,3,None
5/2/2022,Packing Food Boxes,73,$1-$99,Food Distribution,3,None
12/20/2022,Soup Kitchen,74,$1-$99,Food Distribution,2,None
7/1/2022,Soup Kitchen,75,$0 No Donations,Food Distribution,3,None
12/18/2022,Soup Kitchen,76,$0 No Donations,Food Distribution,5,None
2/3/2022,Soup Kitchen,77,$0 No Donations,Food Distribution,3,None
11/5/2022,Soup Kitchen,78,$0 No Donations,Food Distribution,2,None
8/30/2022,Soup Kitchen,79,$0 No Donations,Food Distribution,4,None
6/12/2022,Soup Kitchen,80,$0 No Donations,Food Distribution,5,None
2/26/2022,Soup Kitchen,81,$1000-$4999,Food Distribution,4,None
4/7/2022,Soup Kitchen,82,$1000-$4999,Food Distribution,4,None
8/11/2022,Soup Kitchen,83,$1000-$4999,Food Distribution,4,Walmart
8/30/2022,Soup Kitchen,84,$1000-$4999,Food Distribution,4,Google
11/28/2022,Soup Kitchen,85,$1000-$4999,Food Distribution,1,Netflix
5/17/2022,Soup Kitchen,86,$1000-$4999,Food Distribution,4,Apple
5/3/2022,Soup Kitchen,87,$1000-$4999,Food Distribution,4,Walmart
4/18/2022,Soup Kitchen,88,$1000-$4999,Food Distribution,5,Google
5/4/2022,Soup Kitchen,89,$1000-$4999,Food Distribution,1,Netflix
3/3/2022,Soup Kitchen,90,$1000-$4999,Food Distribution,5,Apple
3/8/2022,Soup Kitchen,91,$1000-$4999,Food Distribution,3,Walmart
5/1/2022,Soup Kitchen,92,$1000-$4999,Food Distribution,5,Google
7/30/2022,Soup Kitchen,93,$1000-$4999,Food Distribution,4,Netflix
6/14/2022,Soup Kitchen,94,$1000-$4999,Food Distribution,4,Apple
12/19/2022,Soup Kitchen,95,$1000-$4999,Food Distribution,2,Walmart
12/19/2022,Soup Kitchen,96,$1000-$4999,Food Distribution,6,Google
12/19/2022,Soup Kitchen,97,$0 No Donations,Food Distribution,5,Netflix
12/19/2022,Soup Kitchen,98,$0 No Donations,Food Distribution,3,Apple
12/19/2022,Soup Kitchen,99,$0 No Donations,Food Distribution,5,Walmart
12/19/2022,Soup Kitchen,100,$0 No Donations,Food Distribution,2,Google
12/19/2022,Soup Kitchen,101,$0 No Donations,Food Distribution,2,Netflix
12/19/2022,Soup Kitchen,102,$0 No Donations,Food Distribution,5,Apple
12/19/2022,Soup Kitchen,103,$0 No Donations,Food Distribution,5,Walmart
12/19/2022,Soup Kitchen,104,$0 No Donations,Food Distribution,2,Google
12/19/2022,Soup Kitchen,105,$1-$99,Food Distribution,6,Netflix
5/27/2022,Soup Kitchen,106,$1-$99,Food Distribution,3,Apple
7/11/2022,Soup Kitchen,107,$1-$99,Food Distribution,3,Walmart
1/17/2022,Soup Kitchen,108,$1-$99,Food Distribution,4,Google
1/12/2022,Soup Kitchen,109,$1-$99,Food Distribution,4,Netflix
5/31/2022,Soup Kitchen,110,$1-$99,Food Distribution,4,Apple
11/29/2022,Soup Kitchen,111,$1-$99,Food Distribution,2,None
7/9/2022,Soup Kitchen,112,$1-$99,Food Distribution,4,None
1/3/2022,Soup Kitchen,113,$1-$99,Food Distribution,1,None
9/10/2022,Soup Kitchen,114,$1-$99,Food Distribution,4,None
9/27/2022,Soup Kitchen,115,$1-$99,Food Distribution,4,None
11/29/2022,Soup Kitchen,116,$1-$99,Food Distribution,2,None
11/7/2022,Language Tutoring,117,$1-$99,Education,4,None
1/5/2022,Language Tutoring,118,$1-$99,Education,3,None
4/6/2022,Language Tutoring,119,$1-$99,Education,6,None
1/7/2022,Language Tutoring,120,$1-$99,Education,4,None
2/6/2022,Language Tutoring,121,$1-$99,Education,4,None
4/14/2022,Language Tutoring,122,$1-$99,Education,4,None
10/26/2022,Language Tutoring,123,$0 No Donations,Education,5,None
6/7/2022,Language Tutoring,124,$0 No Donations,Education,2,None
4/8/2022,Language Tutoring,125,$0 No Donations,Education,2,None
4/27/2022,Language Tutoring,126,$0 No Donations,Education,5,None
7/5/2022,Language Tutoring,127,$0 No Donations,Education,2,None
4/7/2022,Jacket Distribution,128,$0 No Donations,Clothing Distribution,2,None
9/19/2022,Jacket Distribution,129,$0 No Donations,Clothing Distribution,2,None
12/27/2022,Jacket Distribution,130,$0 No Donations,Clothing Distribution,3,None
8/19/2022,Jacket Distribution,131,$0 No Donations,Clothing Distribution,6,None
12/1/2022,Jacket Distribution,132,$1-$99,Clothing Distribution,3,None
2/24/2022,Cleaning Community Garden,133,$1-$99,Clean Up,4,None
5/17/2022,Cleaning Community Garden,134,$1-$99,Clean Up,3,None
10/30/2022,Cleaning Community Garden,135,$1-$99,Clean Up,1,None
9/22/2022,Cleaning Community Garden,136,$1-$99,Clean Up,3,None
4/16/2022,Cleaning Community Garden,137,$1-$99,Clean Up,5,None
6/18/2022,Cleaning Community Garden,138,$0 No Donations,Clean Up,4,None
3/28/2022,Cleaning Community Garden,139,$0 No Donations,Clean Up,2,None
10/4/2022,Cleaning Community Garden,140,$0 No Donations,Clean Up,6,None
5/16/2022,Cleaning Community Garden,141,$0 No Donations,Clean Up,4,None
2/5/2022,Cleaning Community Garden,142,$0 No Donations,Clean Up,3,None
10/12/2022,Cleaning Community Garden,132,$1-$99,Clean Up,6,None
5/13/2022,Cleaning Community Garden,133,$1-$99,Clean Up,5,None
1/31/2022,Cleaning Community Garden,134,$1-$99,Clean Up,3,None
9/8/2022,Cleaning Community Garden,135,$1-$99,Clean Up,5,None
5/4/2022,Cleaning Community Garden,136,$1-$99,Clean Up,3,None
5/17/2022,Cleaning Community Garden,137,$1-$99,Clean Up,1,None
11/17/2022,Cleaning Community Garden,138,$0 No Donations,Clean Up,2,None
3/2/2022,Cleaning Community Garden,139,$0 No Donations,Clean Up,5,None
9/19/2022,Cleaning Community Garden,140,$0 No Donations,Clean Up,5,None
12/29/2022,Cleaning Community Garden,141,$0 No Donations,Clean Up,5,None
1/13/2022,Cleaning Community Garden,142,$0 No Donations,Clean Up,3,None
3/28/2022,Cleaning Community Garden,1,$0 No Donations,Clean Up,2,None
3/23/2022,Cleaning Community Garden,2,$1-$99,Clean Up,3,None
6/12/2022,Cleaning Community Garden,3,$100-$999,Clean Up,3,None
5/20/2022,Cleaning Community Garden,4,$1000-$4999,Clean Up,3,None
10/24/2022,Cleaning Community Garden,5,$5000+,Clean Up,5,None
3/11/2022,Cleaning Community Garden,6,$0 No Donations,Clean Up,4,None
7/3/2022,Cleaning Community Garden,7,$1-$99,Clean Up,4,None
5/3/2022,Speaker at Event,8,$1-$99,Speaker,4,None
11/18/2022,Speaker at Event,9,$1-$99,Speaker,5,None
12/22/2022,Speaker at Event,10,$100-$999,Speaker,2,None
10/30/2022,Speaker at Event,11,$0 No Donations,Speaker,3,None
10/24/2022,Speaker at Event,12,$0 No Donations,Speaker,4,None